,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2000-01-03T00:00:00.000Z,111.94,112.5,101.69,104.87,4783900,0.842092184,0.8463049017,0.7649844041,0.7889066226,535797335,0.0,1.0
1,2000-01-04T00:00:00.000Z,102.5,110.62,101.19,108.25,4574800,0.7710777994,0.8321622065,0.7612230489,0.8143333832,512378112,0.0,1.0
2,2000-01-05T00:00:00.000Z,104.0,110.56,103.0,103.75,6949300,0.7823618647,0.8317108439,0.7748391545,0.7804811872,778322378,0.0,1.0
3,2000-01-06T00:00:00.000Z,95.0,107.0,95.0,106.12,6856900,0.7146574726,0.8049299954,0.7146574726,0.7983100104,767973567,0.0,1.0
4,2000-01-07T00:00:00.000Z,99.5,101.0,95.5,96.5,4113700,0.7485096686,0.759793734,0.7184188277,0.7259415379,460734860,0.0,1.0
5,2000-01-10T00:00:00.000Z,97.75,102.25,94.75,102.0,4509500,0.7353449257,0.7691971218,0.712776795,0.7673164442,505064505,0.0,1.0
6,2000-01-11T00:00:00.000Z,92.75,99.37,90.5,95.94,3942400,0.6977313745,0.7475317163,0.6808052765,0.7217288202,441549241,0.0,1.0
7,2000-01-12T00:00:00.000Z,87.19,95.5,86.5,95.0,8714900,0.6559051056,0.7184188277,0.6507144356,0.7146574726,976069776,0.0,1.0
8,2000-01-13T00:00:00.000Z,96.75,98.75,92.5,94.48,9220400,0.7278222155,0.742867636,0.695850697,0.7107456632,1032685832,0.0,1.0
9,2000-01-14T00:00:00.000Z,100.44,102.25,99.37,100.0,3485500,0.7555810163,0.7691971218,0.7475317163,0.7522710238,390376390,0.0,1.0
10,2000-01-18T00:00:00.000Z,103.94,106.0,100.44,101.0,4099800,0.7819105021,0.7974072852,0.7555810163,0.759793734,459178059,0.0,1.0
11,2000-01-19T00:00:00.000Z,106.56,108.75,103.37,105.62,5336100,0.8016200029,0.8180947383,0.7776225573,0.7945486553,597643797,0.0,1.0
12,2000-01-20T00:00:00.000Z,113.5,121.5,113.5,115.5,16349400,0.853827612,0.9140092939,0.853827612,0.8688730324,1831134631,0.0,1.0
13,2000-01-21T00:00:00.000Z,111.31,114.25,110.19,114.25,4427900,0.8373528765,0.8594696446,0.8289274411,0.8594696446,495925295,0.0,1.0
14,2000-01-24T00:00:00.000Z,106.25,112.75,105.12,108.44,3936400,0.7992879627,0.8481855793,0.7907873002,0.8157626982,440877240,0.0,1.0
15,2000-01-25T00:00:00.000Z,112.25,113.12,102.37,105.0,4438800,0.8444242242,0.8509689821,0.770099847,0.7898845749,497146097,0.0,1.0
16,2000-01-26T00:00:00.000Z,110.19,114.19,109.75,110.0,3278200,0.8289274411,0.859018282,0.8256174486,0.8274981261,367158767,0.0,1.0
17,2000-01-27T00:00:00.000Z,110.0,113.0,107.0,108.81,3037000,0.8274981261,0.8500662568,0.8049299954,0.818546101,340144340,0.0,1.0
18,2000-01-28T00:00:00.000Z,101.62,110.87,100.62,108.19,3779900,0.7644578143,0.834042884,0.7569351041,0.8138820206,423349223,0.0,1.0
19,2000-01-31T00:00:00.000Z,103.75,103.87,94.5,101.0,6265000,0.7804811872,0.7813839124,0.7108961175,0.759793734,701680701,0.0,1.0
20,2000-02-01T00:00:00.000Z,100.25,105.0,100.0,104.0,2839600,0.7541517013,0.7898845749,0.7522710238,0.7823618647,318035518,0.0,1.0
21,2000-02-02T00:00:00.000Z,98.81,102.12,97.0,100.75,4144600,0.7433189986,0.7682191695,0.729702893,0.7579130564,464195664,0.0,1.0
22,2000-02-03T00:00:00.000Z,103.31,104.25,100.25,100.31,4242800,0.7771711946,0.7842425423,0.7541517013,0.7546030639,475194075,0.0,1.0
23,2000-02-04T00:00:00.000Z,108.0,110.0,103.62,103.94,3797500,0.8124527057,0.8274981261,0.7795032348,0.7819105021,425320425,0.0,1.0
24,2000-02-07T00:00:00.000Z,114.06,114.25,105.94,108.0,3938100,0.8580403297,0.8594696446,0.7969559226,0.8124527057,441067641,0.0,1.0
25,2000-02-08T00:00:00.000Z,114.87,116.12,111.25,114.0,3648600,0.864133725,0.8735371128,0.8369015139,0.8575889671,408643608,0.0,1.0
26,2000-02-09T00:00:00.000Z,112.62,117.12,112.44,114.12,2672900,0.847207627,0.881059823,0.8458535391,0.8584916923,299365099,0.0,1.0
27,2000-02-10T00:00:00.000Z,113.5,113.87,110.0,112.87,2705200,0.853827612,0.8566110148,0.8274981261,0.8490883045,302982702,0.0,1.0
28,2000-02-11T00:00:00.000Z,108.75,114.12,108.25,113.62,1895100,0.8180947383,0.8584916923,0.8143333832,0.8547303372,212251412,0.0,1.0
29,2000-02-14T00:00:00.000Z,115.81,115.87,108.62,109.31,3281600,0.8712050726,0.8716564352,0.817116786,0.8223074561,367539567,0.0,1.0
30,2000-02-15T00:00:00.000Z,119.0,119.94,115.19,115.25,4337000,0.8952025183,0.9022738659,0.8665409923,0.8669923549,485744485,0.0,1.0
31,2000-02-16T00:00:00.000Z,114.12,118.12,112.12,117.75,3377200,0.8584916923,0.8885825333,0.8434462718,0.8857991305,378246778,0.0,1.0
32,2000-02-17T00:00:00.000Z,114.87,115.5,113.12,115.19,2584800,0.864133725,0.8688730324,0.8509689821,0.8665409923,289497889,0.0,1.0
33,2000-02-18T00:00:00.000Z,111.25,115.37,110.87,114.62,2084300,0.8369015139,0.8678950801,0.834042884,0.8622530474,233441833,0.0,1.0
34,2000-02-22T00:00:00.000Z,113.81,116.94,106.69,110.12,3770500,0.8561596521,0.8797057352,0.8025979552,0.8284008514,422296422,0.0,1.0
35,2000-02-23T00:00:00.000Z,116.25,119.0,111.0,113.23,4224100,0.8745150651,0.8952025183,0.8350208364,0.8517964802,473099673,0.0,1.0
36,2000-02-24T00:00:00.000Z,115.2,119.12,111.75,117.31,3361000,0.8666162194,0.8961052435,0.8406628691,0.882489138,376432376,0.0,1.0
37,2000-02-25T00:00:00.000Z,110.37,117.0,110.12,114.81,2224500,0.8302815289,0.8801570978,0.8284008514,0.8636823624,249144249,0.0,1.0
38,2000-02-28T00:00:00.000Z,113.25,115.0,108.37,110.12,2931500,0.8519469344,0.8651116773,0.8152361084,0.8284008514,328328328,0.0,1.0
39,2000-02-29T00:00:00.000Z,114.62,117.25,112.56,113.56,3294300,0.8622530474,0.8820377754,0.8467562643,0.8542789746,368961968,0.0,1.0
40,2000-03-01T00:00:00.000Z,130.31,132.06,118.5,118.56,9616100,0.9802843711,0.993449114,0.8914411632,0.8918925258,1077004277,0.0,1.0
41,2000-03-02T00:00:00.000Z,122.0,127.94,120.69,127.0,2779100,0.917770649,0.9624555478,0.9079158986,0.9553842002,311259511,0.0,1.0
42,2000-03-03T00:00:00.000Z,128.0,128.23,120.0,124.87,2887200,0.9629069104,0.9646371338,0.9027252285,0.9393608274,323366723,0.0,1.0
43,2000-03-06T00:00:00.000Z,125.69,129.13,125.0,126.0,1880000,0.9455294498,0.971407573,0.9403387797,0.9478614899,210560210,0.0,1.0
44,2000-03-07T00:00:00.000Z,122.87,127.44,121.12,126.44,2437600,0.9243154069,0.9586941927,0.911150664,0.9511714824,273011473,0.0,1.0
45,2000-03-08T00:00:00.000Z,122.0,123.94,118.56,122.87,2421700,0.917770649,0.9323647068,0.8918925258,0.9243154069,271230671,0.0,1.0
46,2000-03-09T00:00:00.000Z,122.25,125.0,118.25,120.87,2470700,0.9196513265,0.9403387797,0.8895604856,0.9092699864,276718676,0.0,1.0
47,2000-03-10T00:00:00.000Z,125.75,127.94,121.0,121.69,2219700,0.9459808124,0.9624555478,0.9102479387,0.9154386088,248606648,0.0,1.0
48,2000-03-13T00:00:00.000Z,121.31,126.5,119.5,122.12,2713900,0.9125799789,0.9516228451,0.8989638734,0.9186733742,303957103,0.0,1.0
49,2000-03-14T00:00:00.000Z,114.25,124.25,114.0,121.22,3826600,0.8594696446,0.934696747,0.8575889671,0.911902935,428579628,0.0,1.0
50,2000-03-15T00:00:00.000Z,116.25,120.25,114.12,115.62,3960800,0.8745150651,0.9046059061,0.8584916923,0.8697757577,443610043,0.0,1.0
51,2000-03-16T00:00:00.000Z,121.56,122.0,114.5,117.31,3375900,0.9144606565,0.917770649,0.8613503222,0.882489138,378101178,0.0,1.0
52,2000-03-17T00:00:00.000Z,125.0,125.0,119.62,120.12,2723600,0.9403387797,0.9403387797,0.8998665986,0.9036279537,305043505,0.0,1.0
53,2000-03-20T00:00:00.000Z,123.0,126.25,122.37,123.5,1825800,0.9252933592,0.9497421675,0.9205540518,0.9290547143,204489804,0.0,1.0
54,2000-03-21T00:00:00.000Z,134.94,136.75,121.62,122.56,4681500,1.0151145195,1.028730625,0.9149120191,0.9219833667,524328524,0.0,1.0
55,2000-03-22T00:00:00.000Z,144.19,144.38,131.56,132.78,5071400,1.0846995892,1.0861289041,0.9896877589,0.9988654653,567997367,0.0,1.0
56,2000-03-23T00:00:00.000Z,141.31,150.38,140.0,142.0,5022900,1.0630341837,1.1312651655,1.0531794333,1.0682248537,562565362,0.0,1.0
57,2000-03-24T00:00:00.000Z,138.69,143.94,135.5,142.44,3990300,1.0433246829,1.0828189116,1.0193272372,1.0715348462,446914046,0.0,1.0
58,2000-03-27T00:00:00.000Z,139.56,144.75,136.88,137.63,2492700,1.0498694408,1.0889123069,1.0297085773,1.03535061,279182679,0.0,1.0
59,2000-03-28T00:00:00.000Z,139.13,142.0,137.13,137.25,1812200,1.0466346754,1.0682248537,1.0315892549,1.0324919801,202966602,0.0,1.0
60,2000-03-29T00:00:00.000Z,135.94,139.44,133.83,139.38,2141400,1.0226372297,1.0489667155,1.0067643111,1.0485153529,239837039,0.0,1.0
61,2000-03-30T00:00:00.000Z,125.75,137.69,125.44,133.56,3700000,0.9459808124,1.0358019726,0.9436487722,1.0047331793,414400414,0.0,1.0
62,2000-03-31T00:00:00.000Z,135.81,137.25,126.0,127.44,3612800,1.0216592774,1.0324919801,0.9478614899,0.9586941927,404634004,0.0,1.0
63,2000-04-03T00:00:00.000Z,133.31,139.5,129.44,135.5,2933600,1.0028525018,1.0494180781,0.9737396132,1.0193272372,328563528,0.0,1.0
64,2000-04-04T00:00:00.000Z,127.31,133.0,116.75,132.63,5895800,0.9577162403,1.0005204616,0.8782764202,0.9977370588,660330260,0.0,1.0
65,2000-04-05T00:00:00.000Z,130.38,132.88,124.0,126.47,4086300,0.9808109608,0.9996177364,0.9328160695,0.9513971637,457666057,0.0,1.0
66,2000-04-06T00:00:00.000Z,125.19,134.5,123.25,130.63,2318100,0.9417680946,1.011804527,0.9271740368,0.9826916383,259627459,0.0,1.0
67,2000-04-07T00:00:00.000Z,131.75,131.88,125.5,127.25,2164600,0.9911170738,0.9920950261,0.9441001348,0.9572648777,242435442,0.0,1.0
68,2000-04-10T00:00:00.000Z,125.0,132.75,124.75,131.69,1895200,0.9403387797,0.998639784,0.9384581021,0.9906657112,212262612,0.0,1.0
69,2000-04-11T00:00:00.000Z,119.44,124.87,118.06,123.5,4837700,0.8985125108,0.9393608274,0.8881311707,0.9290547143,541822941,0.0,1.0
70,2000-04-12T00:00:00.000Z,109.25,119.0,104.87,119.0,8403000,0.8218560935,0.8952025183,0.7889066226,0.8952025183,941136941,0.0,1.0
71,2000-04-13T00:00:00.000Z,113.81,120.0,108.5,111.5,4730600,0.8561596521,0.9027252285,0.8162140608,0.8387821915,529827729,0.0,1.0
72,2000-04-14T00:00:00.000Z,111.87,118.0,109.0,109.31,5960900,0.8415655943,0.887679808,0.8199754159,0.8223074561,667621467,0.0,1.0
73,2000-04-17T00:00:00.000Z,123.87,123.94,109.06,109.5,3656800,0.9318381171,0.9323647068,0.8204267785,0.823736771,409562009,0.0,1.0
74,2000-04-18T00:00:00.000Z,126.87,126.87,119.37,123.5,3490400,0.9544062478,0.9544062478,0.8979859211,0.9290547143,390925190,0.0,1.0
75,2000-04-19T00:00:00.000Z,121.12,130.25,119.75,126.19,4644200,0.911150664,0.9798330084,0.900844551,0.9492908049,520150920,0.0,1.0
76,2000-04-20T00:00:00.000Z,118.87,124.75,117.06,123.69,6447500,0.8942245659,0.9384581021,0.8806084604,0.9304840293,722120722,0.0,1.0
77,2000-04-24T00:00:00.000Z,120.5,120.5,114.75,115.0,3960900,0.9064865836,0.9064865836,0.8632309998,0.8651116773,443621243,0.0,1.0
78,2000-04-25T00:00:00.000Z,128.31,128.75,122.06,122.12,3496800,0.9652389506,0.9685489431,0.9182220116,0.9186733742,391641991,0.0,1.0
79,2000-04-26T00:00:00.000Z,121.31,128.0,120.0,126.62,3276000,0.9125799789,0.9629069104,0.9027252285,0.9525255703,366912366,0.0,1.0
80,2000-04-27T00:00:00.000Z,126.75,127.0,116.58,117.19,2916100,0.9535035226,0.9553842002,0.8769975595,0.8815864127,326603526,0.0,1.0
81,2000-04-28T00:00:00.000Z,124.06,127.5,121.31,127.12,2228400,0.9332674321,0.9591455553,0.9125799789,0.9562869254,249581049,0.0,1.0
82,2000-05-01T00:00:00.000Z,124.31,125.12,121.87,124.87,2019600,0.9351481096,0.9412415049,0.9167926967,0.9393608274,226195426,0.0,1.0
83,2000-05-02T00:00:00.000Z,117.87,126.25,117.5,123.25,2111000,0.8867018557,0.9497421675,0.8839184529,0.9271740368,236432236,0.0,1.0
84,2000-05-03T00:00:00.000Z,115.06,121.25,111.62,118.94,4373200,0.8655630399,0.9121286163,0.8396849167,0.8947511557,489798889,0.0,1.0
85,2000-05-04T00:00:00.000Z,110.69,115.25,110.56,115.12,3567100,0.8326887962,0.8669923549,0.8317108439,0.8660144026,399515599,0.0,1.0
86,2000-05-05T00:00:00.000Z,113.12,114.75,110.72,110.81,2536400,0.8509689821,0.8632309998,0.8329144775,0.8335915214,284077084,0.0,1.0
87,2000-05-08T00:00:00.000Z,110.12,113.69,110.0,112.09,1650900,0.8284008514,0.8552569269,0.8274981261,0.8432205905,184900984,0.0,1.0
